TimeElapsed,Reward,Challenge,No(0)/YesTimeout(1)/YesGrabbed(2),ApplesTotal,NumReps,Date(MDY),09/08/2020 13:05:34
66.78411,1,4,2,1,5
70.67856,1,2,0,1,6
74.93932,4,3,2,5,7
78.0519,3,1,0,5,8
81.14748,2,1,2,7,9
86.40685,1,2,0,7,10
90.65088,4,3,2,11,11
94.84501,4,1,2,15,12
98.29034,2,1,2,17,13
102.0518,3,2,2,20,14
105.9633,3,4,0,20,15
109.4584,4,1,2,24,16
113.0702,2,4,0,24,17
116.6319,1,1,0,24,18
120.4764,1,1,2,25,19
123.7386,3,3,2,28,20
127.6166,3,1,2,31,21
130.9453,1,3,2,32,22
135.0063,2,3,2,34,23
138.5847,2,2,2,36,24
142.263,3,3,2,39,25
146.4071,4,2,2,43,26
150.0356,3,1,2,46,27
153.8137,3,1,2,49,28
163.2339,3,4,1,49,29
167.3283,4,1,2,53,30
171.5557,4,2,2,57,31
175.4171,2,1,2,59,32
179.2785,3,2,2,62,33
184.2879,1,4,0,62,34
187.4171,2,2,2,64,35
190.9622,2,2,2,66,36
195.1064,2,1,2,68,37
198.9009,2,2,2,70,38
203.4612,4,2,2,74,39
211.2836,4,4,1,74,40
220.4375,4,2,1,74,41
225.4139,1,1,2,75,42
230.0408,2,3,2,77,43
234.6676,1,2,2,78,44
239.3611,2,3,2,80,45
